R,G,B,id,mark,path,hexCol,h,s,v
63,52,50,1,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#3F3432,0.025641026,0.206349206,0.247058824
63,52,51,1,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#3F3433,0.013888889,0.19047619,0.247058824
63,51,47,1,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#3F332F,0.041666667,0.253968254,0.247058824
83,57,55,2,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#533937,0.011904762,0.337349398,0.325490196
83,58,57,2,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#533A39,0.006410256,0.313253012,0.325490196
83,58,57,2,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#533A39,0.006410256,0.313253012,0.325490196
86,57,58,3,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#56393A,0.994252874,0.337209302,0.337254902
86,57,57,3,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#563939,0,0.337209302,0.337254902
85,57,57,3,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#543939,0,0.329411765,0.333333333
86,62,62,4,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#563E3E,0,0.279069767,0.337254902
86,62,64,4,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#563E40,0.986111111,0.279069767,0.337254902
86,62,62,4,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#563E3E,0,0.279069767,0.337254902
84,62,64,5,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#543E40,0.984848485,0.261904762,0.329411765
84,62,65,5,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#543E41,0.977272727,0.261904762,0.329411765
84,61,63,5,Macroptilium_purpureum_spec,C:/Users/z5119682/Documents/R/win-library/3.6/colorZapper/sample/speczap.PNG,#543D3F,0.985507246,0.273809524,0.329411765
